pc,direction,pool,orientation,n,preferred,clean_crossings,first_pair_mean_position,mean_position,starts_raw
44,forward,unrestricted,1,16,13,0,2,0.4914757328690206,"5770,43390,1855,51320,58565,44425,57185,26130,40775,28405,41245,42510,19850,46440,16380,1600"
44,forward,clean_crossing,1,16,9,16,16,0.292097218555458,"43235,2120,25075,48110,10980,49105,28830,54390,32515,3370,58960,20820,41425,25320,9615,9500"
44,backward,unrestricted,-1,16,8,0,3,0.5130377409955269,"11190,52860,5560,26135,22000,20205,16410,9520,10465,17360,4310,13350,33275,19050,46530,32680"
44,backward,clean_crossing,-1,16,7,16,16,0.31342941368374455,"2125,25080,42020,18615,9330,32520,24320,51315,3375,43120,18430,31260,50550,14085,9505,10995"
45,forward,unrestricted,1,16,10,0,2,0.45196959111929225,"36270,37135,12330,47265,42885,19690,55120,49215,21730,12730,49960,34480,6675,10400,54990,15090"
45,forward,clean_crossing,1,16,10,16,16,0.3093674610492382,"54760,32340,7070,10990,47480,2125,50265,53375,57805,9195,12275,4235,45505,51305,9855,25325"
45,backward,unrestricted,-1,16,9,0,2,0.5764201130721955,"33885,23960,8575,20400,25920,58690,43745,57155,47315,30270,49635,615,51275,3675,29525,42355"
45,backward,clean_crossing,-1,16,9,16,16,0.3124396451804125,"31270,11500,31085,55040,43105,28850,9505,36770,7100,44685,54400,10980,58950,51315,31800,6660"
46,forward,unrestricted,1,16,5,0,4,0.5190889964578885,"5425,6670,43385,2285,12725,38705,19760,49210,34175,45850,22890,52660,9780,20460,24605,21275"
46,forward,clean_crossing,1,16,9,16,16,0.2858961579357905,"41440,3495,32335,20815,25305,11275,2115,57575,18240,24295,47445,10630,39110,7085,18625,9505"
46,backward,unrestricted,-1,16,6,1,4,0.38839829916669855,"38710,8255,23955,9500,21525,55500,52495,55695,34420,28470,45955,4380,5025,52830,47545,41720"
46,backward,clean_crossing,-1,16,9,16,16,0.30434532716221263,"9500,18250,18610,50565,6655,36765,47840,25310,11280,9855,12255,3370,57570,20830,58950,9325"
47,forward,unrestricted,-1,16,6,0,5,0.5598217101860075,"58725,19770,15070,51890,12420,36760,7285,32135,55360,30175,19105,33565,34530,55505,14610,53015"
47,forward,clean_crossing,-1,16,12,16,16,0.31326179470250237,"51310,56595,24315,6655,2110,11005,47870,29965,32530,8050,54355,14075,18610,20825,44680,9505"
47,backward,unrestricted,1,16,11,1,3,0.5350871621534271,"205,9785,25875,43760,22725,54170,8165,43135,46500,58395,40545,30670,14550,8590,52545,2120"
47,backward,clean_crossing,1,16,8,16,16,0.297774696064172,"2120,18605,9195,25310,31105,58945,55040,4000,10985,4210,50260,48595,53370,57570,32525,35780"
48,forward,unrestricted,1,16,9,1,7,0.45635392110524003,"58970,11045,6175,35830,2640,17205,37125,19895,34130,12065,55670,35515,39570,45350,42890,11435"
48,forward,clean_crossing,1,16,7,16,16,0.3005252537888893,"58970,9860,31100,43800,10990,3500,18235,38795,36780,44655,55035,51310,32315,32520,2125,9490"
48,backward,unrestricted,-1,16,7,0,4,0.5279001421079595,"32760,45320,2360,57255,22045,16315,49020,57145,34365,47260,38055,11225,37760,19320,47420,45180"
48,backward,clean_crossing,-1,16,6,16,16,0.32570210620743456,"56600,7105,51315,54385,47465,2135,25320,57800,50215,27995,3355,24320,7460,20570,55015,42020"
49,forward,unrestricted,1,16,8,0,4,0.3719825044286025,"32745,29535,50150,34420,49065,32375,10730,11295,56310,315,50745,44870,45930,22730,6605,30205"
49,forward,clean_crossing,1,16,5,16,16,0.2949870456560785,"55000,45830,53345,32315,36780,32540,50905,48615,48110,50580,9200,12980,2100,43235,44675,10630"
49,backward,unrestricted,-1,16,9,0,7,0.46838845413694974,"51470,36560,30545,54225,35585,48285,34050,37055,2350,24105,55840,28515,11755,21130,6560,15010"
49,backward,clean_crossing,-1,16,9,16,16,0.31922144368904015,"2090,14090,3380,11275,36785,32335,11000,35805,32535,57560,25325,27995,50915,7440,55010,50225"
50,forward,unrestricted,-1,16,7,0,1,0.5777114343367604,"590,51555,11880,12750,27735,50455,34390,14945,3330,30240,38190,23580,25280,47950,24855,23930"
50,forward,clean_crossing,-1,16,6,16,16,0.30701257706741825,"11280,56595,41425,55010,31075,2090,14080,31815,47450,28835,7090,58930,57800,45840,18625,25090"
50,backward,unrestricted,1,16,7,0,4,0.47055392495953685,"19755,27050,51445,24485,43200,54960,5125,55835,54405,3965,40970,50735,44940,620,16295,18220"
50,backward,clean_crossing,1,16,11,16,16,0.2997037873095403,"25100,31805,18260,57595,14085,50585,48605,7440,9855,18620,3505,50230,48110,58955,4210,36780"
51,forward,unrestricted,1,16,9,2,7,0.4281477243093934,"37885,31750,25335,3335,55325,24505,51315,1095,22015,22940,17715,38510,26625,10535,4190,5835"
51,forward,clean_crossing,1,16,15,16,16,0.3188801061629635,"25335,51315,10995,32525,12270,35795,18620,11495,50900,44815,24305,18240,28855,3380,20830,38790"
51,backward,unrestricted,-1,16,9,1,3,0.5503449757971247,"48565,43695,27320,24710,6690,26930,9030,37485,47435,55425,39100,7380,28395,26690,17020,33465"
51,backward,clean_crossing,-1,16,12,16,16,0.29613100136123377,"39100,47460,25105,8050,50235,49095,58955,29850,54400,41440,31275,44675,43805,53360,4010,45835"
52,forward,unrestricted,-1,16,12,1,2,0.5949062624028492,"48750,17645,19950,36575,15360,2225,29495,55,3580,56980,26730,8360,56665,25315,8075,22955"
52,forward,clean_crossing,-1,16,10,16,16,0.29440741748663213,"25315,28830,18610,9200,11495,11000,9860,48620,38795,50900,44810,50260,57600,43120,56595,7455"
52,backward,unrestricted,1,16,8,0,1,0.5918607583352029,"15430,37835,34535,15730,20975,56975,43340,58730,55960,10935,33690,52570,57155,8145,45020,13625"
52,backward,clean_crossing,1,16,10,16,16,0.2912324777062929,"8055,47465,57590,31095,31260,49100,25120,36765,20820,25325,3495,9855,53365,54395,3360,39105"
53,forward,unrestricted,1,16,8,0,4,0.5067335080961216,"21945,26080,48095,41495,4305,38330,30035,21820,51690,51505,44315,19575,3390,31640,16970,5075"
53,forward,clean_crossing,1,16,8,16,16,0.30925604089927516,"29975,50255,6655,43110,11290,58950,48600,2110,36775,56615,43790,28825,35785,38795,50580,44810"
53,backward,unrestricted,-1,16,6,1,5,0.5105807196927048,"55495,35765,35330,23235,9495,8780,21010,24390,48070,26695,34375,51360,18565,17425,29245,38920"
53,backward,clean_crossing,-1,16,9,16,16,0.29046636775082524,"9495,54995,47460,4210,25090,2115,31810,44655,58955,20815,25345,47835,7070,36795,9325,32330"
54,forward,unrestricted,-1,16,6,0,2,0.561096026593663,"52685,58300,38050,8575,6215,9530,25720,33190,16210,6500,54570,34465,17310,59645,48770,40575"
54,forward,clean_crossing,-1,16,12,16,16,0.3123078956501376,"56610,9625,50910,13430,18240,58945,57595,11495,55005,50245,7110,28855,39105,8060,18600,54760"
54,backward,unrestricted,1,16,11,0,3,0.5559798753214473,"31490,55680,58480,19765,55985,54145,12400,845,21095,57985,17420,37225,33265,52665,36215,17220"
54,backward,clean_crossing,1,16,9,16,16,0.29228989818457146,"11000,9505,31815,57575,39080,44650,58960,24300,25105,50905,50580,20815,43235,50215,36770,35785"
55,forward,unrestricted,1,16,10,1,6,0.5501575295244645,"370,2735,15990,24510,25330,56100,57795,40565,41860,12745,19245,32945,8825,16210,12935,23805"
55,forward,clean_crossing,1,16,8,16,16,0.3059030936415783,"25330,10980,56615,54995,41420,57565,4000,31795,18620,9210,54350,32315,32510,2115,18245,6665"
55,backward,unrestricted,-1,16,8,0,4,0.4816918378987293,"28390,10715,47305,6380,13955,55990,44035,5820,53995,18160,15020,48555,7955,19635,36570,23585"
55,backward,clean_crossing,-1,16,8,16,16,0.3074576883748736,"54400,18255,10975,41430,11285,37580,2120,24305,50910,18615,3355,47465,12145,31800,55035,36785"
56,forward,unrestricted,1,16,10,2,6,0.5021009170701924,"16395,34360,6360,48055,51155,23020,51905,46540,55900,2090,17485,8430,25705,55590,25075,58480"
56,forward,clean_crossing,1,16,8,16,16,0.311866624340723,"2090,25075,38810,54370,24320,31280,45510,3380,39105,7445,58950,31070,18250,44815,9325,4010"
56,backward,unrestricted,-1,16,8,0,4,0.43761107405512345,"8785,320,16665,10320,48585,52650,44410,32130,10550,29410,46845,27030,49620,59080,35835,22745"
56,backward,clean_crossing,-1,16,8,16,16,0.31750155169855976,"43245,49115,48595,11275,4235,9330,43110,24310,57585,9500,2130,20825,25095,7475,25350,51305"
57,forward,unrestricted,-1,16,8,0,6,0.4426980877888754,"51920,2925,55350,6610,23250,22500,30625,4385,15490,33400,39760,8870,21520,45565,28500,41800"
57,forward,clean_crossing,-1,16,10,16,16,0.29977241552468215,"51305,9495,28020,35790,12260,32535,50585,58945,12980,43240,2105,7100,3495,9325,25105,44815"
57,backward,unrestricted,1,16,6,0,3,0.4855996111522058,"57120,25715,21895,23575,36600,29060,34530,2240,4880,44080,15560,58420,18300,7505,57480,25230"
57,backward,clean_crossing,1,16,9,16,16,0.3200597801771873,"18260,45845,58960,44825,8055,4020,35800,29855,25330,25085,54390,31080,45510,2110,55040,7455"
58,forward,unrestricted,-1,16,9,1,4,0.5568579432998455,"51020,15925,11285,22440,49145,21700,58580,52585,34165,4060,45380,8755,8400,14690,16390,58465"
58,forward,clean_crossing,-1,16,10,16,16,0.32054513668663914,"11285,4025,25335,35805,2120,25100,43115,44670,20830,38790,8060,56635,18610,18250,31795,43270"
58,backward,unrestricted,1,16,9,0,4,0.5727453375254166,"40560,8635,51265,45365,5075,10960,54615,51450,45535,35365,23360,36575,25920,5395,27435,52445"
58,backward,clean_crossing,1,16,12,16,16,0.3262810956900902,"47440,32315,18235,11495,45510,4000,43105,49095,55000,50550,25080,57585,9865,51310,24295,31790"
59,forward,unrestricted,1,16,9,2,3,0.6333415698152794,"29485,26715,26855,58700,17130,50885,36480,13245,7445,40310,14295,8065,43450,11245,23970,17635"
59,forward,clean_crossing,1,16,8,16,16,0.29559646804439915,"7445,8065,50250,11285,7075,48625,50570,35790,37570,42020,9630,25320,55045,43125,31810,45835"
59,backward,unrestricted,-1,16,8,2,3,0.5331040472055084,"26180,21725,27755,49755,9695,47455,40290,14490,16165,40785,13925,31545,15675,8150,46415,9490"
59,backward,clean_crossing,-1,16,9,16,16,0.30032368465587045,"47455,9490,57580,53345,50560,11275,2090,45615,14070,28840,43245,7085,56605,48590,24290,39115"
60,forward,unrestricted,-1,16,10,0,4,0.5255172184853889,"12715,8215,38115,23100,35315,41260,33255,46565,41100,29885,56965,7160,47190,17595,2255,52975"
60,forward,clean_crossing,-1,16,5,16,16,0.30007587758757825,"31805,9495,32510,31265,47480,2135,20585,36775,57565,4210,5945,18255,45510,44685,28030,3380"
60,backward,unrestricted,1,16,6,0,3,0.5835269462476294,"5840,22700,2185,4840,21710,180,20455,11235,44070,5,13640,58745,36590,5240,40785,13235"
60,backward,clean_crossing,1,16,9,16,16,0.288950382316718,"31815,11500,49110,48115,55035,9620,53365,9330,3375,51290,7105,48615,9500,18250,50235,31110"
61,forward,unrestricted,1,16,8,0,2,0.48891496765246506,"56575,5830,45455,21095,57890,13580,17125,33160,25005,17880,12640,13240,13090,4765,34035,41895"
61,forward,clean_crossing,1,16,9,16,16,0.2989141249494195,"7110,31100,3375,32325,31275,43810,24305,51295,2110,47465,9625,28005,10985,8055,9325,31805"
61,backward,unrestricted,-1,16,5,0,3,0.4948025127197799,"15065,31250,8190,4800,53930,25910,58660,20015,44090,23585,35305,6650,14220,52515,43905,19325"
61,backward,clean_crossing,-1,16,10,16,16,0.2825972575011203,"56600,39095,4025,2100,28020,54375,57580,38790,58965,48625,29860,43795,28840,9205,32515,41440"
62,forward,unrestricted,1,16,6,3,5,0.5715786765711928,"28625,30055,15555,21015,17620,37030,25830,48050,58420,36340,4215,12705,20130,55000,23570,31800"
62,forward,clean_crossing,1,16,10,16,16,0.3095083302338867,"4215,55000,31800,25305,31270,24315,35800,11000,32325,18250,8050,21545,27995,25115,2120,31080"
62,backward,unrestricted,-1,16,11,0,5,0.5381010486727796,"45985,22000,52655,19795,55445,30775,45415,3590,50450,57075,35645,49365,24915,44170,34330,205"
62,backward,clean_crossing,-1,16,7,16,16,0.2950735241742828,"50245,31820,43125,56610,35780,28840,3380,9855,18235,43250,38790,57580,7095,44810,28015,47440"
63,forward,unrestricted,-1,16,10,0,3,0.4596194616935442,"46560,28695,8230,21790,44405,21905,17065,25795,12710,16305,57850,37925,2250,49135,53935,22525"
63,forward,clean_crossing,-1,16,11,16,16,0.30674592896454134,"35805,7470,2135,21545,10985,13410,31260,25345,28855,37565,20580,24305,44660,31785,57585,18615"
63,backward,unrestricted,1,16,11,1,4,0.602565907220965,"23050,11230,195,14915,44350,51890,14530,17315,16645,36585,44065,44235,57465,44615,13920,47455"
63,backward,clean_crossing,1,16,9,16,16,0.3113687850779995,"47455,7110,53360,11000,4230,4005,2125,48110,55030,9205,57575,58950,56630,54390,45615,32340"
64,forward,unrestricted,1,16,12,1,4,0.35100630568569524,"48760,25325,44075,15875,24030,27790,43085,51900,39230,8005,2085,49945,3575,21665,35165,25710"
64,forward,clean_crossing,1,16,9,16,16,0.31628883979082334,"25325,36770,58935,2095,18620,44820,41425,32540,35790,39085,54365,11005,49105,51295,25110,29850"
64,backward,unrestricted,-1,16,10,1,5,0.46966366762857636,"40825,54125,49120,2485,49895,52645,40110,43810,48065,13245,40420,225,23595,24415,8660,8155"
64,backward,clean_crossing,-1,16,9,16,16,0.3026456792793286,"43810,10990,51300,12255,53375,27995,18260,36775,55030,43250,54370,3370,32315,2135,31080,58940"
65,forward,unrestricted,-1,16,5,1,4,0.4249541537444902,"55670,45960,49130,20320,58430,28320,45130,37835,33370,1870,22615,41840,40200,5945,30075,53775"
65,forward,clean_crossing,-1,16,8,16,16,0.30732966266605377,"5945,36765,43785,11290,29965,57595,8065,45840,10980,48590,54360,18250,43255,24315,18615,32325"
65,backward,unrestricted,1,16,12,1,4,0.4061882623050946,"32335,38060,34480,29690,19195,37025,935,28505,40550,44345,58820,48060,21715,46450,49745,12925"
65,backward,clean_crossing,1,16,11,16,16,0.2843808221033795,"32335,38810,36770,4005,45845,41435,58950,43110,56620,13405,3495,55025,47445,31110,47835,20585"
66,forward,unrestricted,1,16,9,0,5,0.4650986358094034,"8270,9525,500,5065,15545,57545,57440,51165,11580,13575,30935,45310,47580,34370,58760,21305"
66,forward,clean_crossing,1,16,10,16,16,0.3063774374985413,"9615,43250,38790,18245,14075,48590,7460,53370,32320,37580,3495,54375,57800,39100,35785,13425"
66,backward,unrestricted,-1,16,6,1,5,0.3553328942218661,"39235,13365,57445,26830,50835,45975,14300,22910,17490,54675,56625,4770,38785,58025,40230,54055"
66,backward,clean_crossing,-1,16,7,16,16,0.3017305906100217,"56625,31090,29850,25110,11285,28835,9325,54760,24290,43105,18630,4010,7080,43785,8050,10625"
67,forward,unrestricted,-1,16,9,1,5,0.5320093320474022,"34365,56930,7450,52170,35120,57460,3545,46375,17640,21370,44900,25925,13865,24630,40115,26460"
67,forward,clean_crossing,-1,16,9,16,16,0.3145792945661842,"7450,43800,11500,39110,36780,44645,25095,6655,37575,29965,9620,21545,4220,24300,7095,18610"
67,backward,unrestricted,1,16,6,1,5,0.554457403632875,"40220,24620,14525,27760,20450,20225,46230,31550,31970,28845,22985,21985,51245,14925,26865,35610"
67,backward,clean_crossing,1,16,10,16,16,0.2968143365668521,"28845,24310,39090,32335,56610,11280,47475,14090,29975,4010,53350,36770,50915,2090,58940,9215"
68,forward,unrestricted,-1,16,6,1,3,0.5429906257801356,"47295,54135,21915,38045,26090,40630,38965,22970,4225,45865,56895,7310,24885,17595,58785,11225"
68,forward,clean_crossing,-1,16,11,16,16,0.325873897188409,"4225,53355,28855,31090,35795,7095,25105,2135,25340,24325,13435,49100,12265,32540,20820,45505"
68,backward,unrestricted,1,16,8,0,4,0.5553933834052378,"58690,26865,42940,44910,33475,58295,26185,40105,44390,32025,52580,48035,3235,55700,27770,54945"
68,backward,clean_crossing,1,16,10,16,16,0.29807386168382144,"7440,32330,9505,53350,11280,31820,18255,21540,50565,7080,24320,49115,2115,12140,36770,31265"
69,forward,unrestricted,-1,16,11,2,2,0.6094835180214926,"59685,30560,5840,19870,43340,53385,4235,40625,58730,26720,37565,15395,5215,17305,57180,45925"
69,forward,clean_crossing,-1,16,10,16,16,0.2915775328050696,"4235,37565,28850,31820,10980,7080,43265,41440,8055,53350,55025,47445,56605,50235,24315,32340"
69,backward,unrestricted,1,16,8,0,5,0.5802370173905038,"17060,55835,8675,43345,49080,2295,46955,29490,11635,45195,16300,21690,19745,25675,56900,37180"
69,backward,clean_crossing,1,16,7,16,16,0.2728733993188738,"50585,7100,2140,43790,13405,55045,57600,10975,24300,28855,14100,35780,31100,25310,25085,32500"
70,forward,unrestricted,-1,16,12,1,7,0.4411179083836907,"8235,26700,25320,39355,39850,25455,130,22425,18120,53215,25645,3930,1630,6135,51465,9470"
70,forward,clean_crossing,-1,16,10,16,16,0.2945692816049018,"25320,24300,50585,55010,28850,36785,8050,25085,9620,2100,55930,4215,3370,38810,37585,54350"
70,backward,unrestricted,1,16,12,2,8,0.48895212476078137,"11290,29855,22990,36575,52810,57890,48040,24900,21860,21130,9535,10720,58770,21360,33255,22330"
70,backward,clean_crossing,1,16,13,16,16,0.311630527552328,"11290,29855,25100,32330,53355,57565,47470,3365,39085,7085,10630,9860,36765,9200,38790,28000"
71,forward,unrestricted,-1,16,8,1,6,0.39502104612604394,"32010,23665,36345,44000,47125,25070,38050,23035,38665,33910,4175,44255,21265,40770,59000,50545"
71,forward,clean_crossing,-1,16,8,16,16,0.29873475619777495,"50545,24295,12255,43780,9215,18625,55005,6655,4220,25115,2105,47865,29865,44655,28830,25310"
71,backward,unrestricted,1,16,9,0,4,0.4896414680064498,"9540,25615,16315,58755,36580,46570,3270,44515,52850,2030,21640,33330,3460,50675,13015,40530"
71,backward,clean_crossing,1,16,9,16,16,0.31945341570527414,"7070,18595,7445,31810,43255,56610,54390,47445,31070,25085,9505,57570,8065,36770,11275,18240"
72,forward,unrestricted,-1,16,12,1,8,0.3532064589799977,"54350,10560,39775,58365,32235,41270,10140,9520,16235,27760,25970,20150,59105,53785,54775,55865"
72,forward,clean_crossing,-1,16,9,16,16,0.2965449796099336,"54350,37575,31280,14100,39085,7095,49105,29970,35805,55040,9625,25320,58930,31810,25115,18630"
72,backward,unrestricted,1,16,7,3,4,0.48175578244916184,"42310,7210,24640,15560,20470,20125,47450,10975,25310,17515,40620,39765,11855,33525,52180,47740"
72,backward,clean_crossing,1,16,9,16,16,0.3026633569969315,"47450,10975,25310,7075,43795,25090,31795,31075,2125,9490,57560,43260,50560,28830,50260,32320"
73,forward,unrestricted,-1,16,9,0,5,0.4084353082011185,"5965,38780,53535,36675,8695,53820,27065,48065,7510,10695,40780,630,10060,15885,43335,23240"
73,forward,clean_crossing,-1,16,9,16,16,0.2982882533232266,"58965,8060,31810,18625,47865,25085,43235,20820,43790,4210,50230,25315,49110,14085,48590,2115"
73,backward,unrestricted,1,16,9,0,3,0.5714703025753377,"13220,34470,36610,27310,58715,40675,2860,20340,48040,44915,54005,41365,575,23790,38595,16395"
73,backward,clean_crossing,1,16,11,16,16,0.32221234050092895,"13435,11005,57600,3360,2130,31785,48625,20580,38810,18260,9865,11290,28025,45505,4010,31105"
74,forward,unrestricted,-1,16,5,0,2,0.3981227889055239,"34475,50815,38265,4995,51910,7370,49040,42275,33360,45720,11210,34075,8965,14920,49185,48505"
74,forward,clean_crossing,-1,16,9,16,16,0.30754096877268666,"35790,47855,25080,18245,4235,37580,24305,43795,54355,13410,50555,31070,12135,48630,57580,7105"
74,backward,unrestricted,1,16,10,0,3,0.4641785325915049,"55850,28700,19240,36570,14900,45930,31740,23280,28960,13250,20870,5610,56810,48490,35010,16225"
74,backward,clean_crossing,1,16,7,16,16,0.3308022594324933,"24320,18260,57560,48620,9490,9630,29850,44805,37570,13435,10985,31080,8060,44645,47870,11290"
75,forward,unrestricted,-1,16,12,0,5,0.45755374251358083,"56140,46545,20170,8730,52320,19845,9365,21920,53470,17135,3245,8040,45195,43720,38665,14740"
75,forward,clean_crossing,-1,16,9,16,16,0.3034938355017727,"43270,2105,35790,50575,54760,57590,4220,38800,54370,49095,31080,9490,50240,3360,47450,37575"
75,backward,unrestricted,1,16,9,1,3,0.520391463651683,"52845,3295,7885,11295,40685,7240,59105,27625,49570,36595,9870,52615,36465,18645,57510,5240"
75,backward,clean_crossing,1,16,9,16,16,0.3207097625724602,"9870,3370,57585,20585,41440,12275,11280,35800,32530,2115,50570,6660,18255,51305,57800,31810"
76,forward,unrestricted,-1,16,8,1,4,0.4643729160750277,"44490,18235,17480,39555,26725,14570,43990,495,11230,12060,58820,24110,7210,39330,3295,53675"
76,forward,clean_crossing,-1,16,11,16,16,0.3072038534398803,"18235,43810,18430,28845,50230,9615,8065,4015,12285,20570,4225,53345,2095,54365,13405,11005"
76,backward,unrestricted,1,16,9,0,2,0.5669240876512922,"18955,45070,34130,56915,57995,33320,15860,27775,38055,29555,7260,21095,50195,48005,34630,55490"
76,backward,clean_crossing,1,16,8,16,16,0.31319987265103333,"7100,47445,32530,31270,25115,45505,31800,13425,10630,35785,12135,58970,32315,48590,24300,10995"
77,forward,unrestricted,-1,16,7,0,4,0.5490253715983652,"15680,6675,12465,36570,45230,30475,13265,5690,30760,5460,26510,43350,41915,19630,33295,6575"
77,forward,clean_crossing,-1,16,9,16,16,0.3026233434818485,"49100,18240,4215,45840,43120,9505,35785,25350,38795,56635,53365,29850,50245,24295,29965,31100"
77,backward,unrestricted,1,16,6,0,3,0.5308548357858193,"25290,27535,56800,35170,13230,9020,23335,42750,34480,41270,57050,50375,37120,23195,16450,12740"
77,backward,clean_crossing,1,16,4,16,16,0.3056438789302665,"11005,24310,47860,44665,9625,28840,31075,25320,35795,6660,45505,54355,12255,18615,13420,2095"
78,forward,unrestricted,1,16,9,0,1,0.5642145362969133,"15525,7860,7375,12850,50430,47300,5050,30470,43355,16010,51495,48505,8865,34960,38970,45210"
78,forward,clean_crossing,1,16,9,16,16,0.31167082006009905,"25345,4210,47870,11495,11290,7085,57800,56615,31075,18430,57600,54395,55030,2100,36790,5950"
78,backward,unrestricted,-1,16,8,1,3,0.42077124518007025,"16520,20215,6300,37370,10990,33675,46285,42870,11250,15995,33285,5470,46610,4875,43205,40560"
78,backward,clean_crossing,-1,16,9,16,16,0.30304201255634733,"10990,20590,32325,9190,13410,4025,7090,55005,50575,24325,28015,45615,43785,6660,43270,21550"
79,forward,unrestricted,-1,16,10,1,3,0.5211243905044207,"2110,18590,11505,53550,57250,38560,8735,23250,5345,31705,56775,26235,14315,27150,3290,16005"
79,forward,clean_crossing,-1,16,9,16,16,0.30335149516317217,"2110,41435,32530,45620,56610,55045,6665,28030,43795,8055,3510,13435,50225,31095,45505,20830"
79,backward,unrestricted,1,16,8,0,2,0.5829828739808096,"31620,25980,58470,25800,40535,1545,46135,47375,44250,5660,59615,34515,54425,26325,20210,46760"
79,backward,clean_crossing,1,16,12,16,16,0.317077702675681,"7465,39080,25110,4230,3370,43265,12980,32510,48595,50570,57575,24315,31815,32320,11280,20585"
80,forward,unrestricted,-1,16,11,2,5,0.37134145788486833,"13430,8715,8845,38250,46325,27040,14490,35805,435,18060,43170,13280,46205,30265,38585,14230"
80,forward,clean_crossing,-1,16,11,16,16,0.3167568166690855,"13430,35805,47875,11500,38795,10630,37570,11285,56610,11000,31075,48615,9500,7085,25100,3495"
80,backward,unrestricted,1,16,8,0,2,0.5950321392271458,"24905,43010,25445,41770,27705,3250,23610,19835,54420,49890,59575,8680,34485,27380,8395,53810"
80,backward,clean_crossing,1,16,8,16,16,0.290049416134169,"18240,4225,57580,29865,7460,43105,50580,10995,56595,54350,32505,32340,2095,20580,51305,25075"
81,forward,unrestricted,-1,16,9,0,2,0.5561006802516136,"31315,22480,700,8240,48150,59615,19000,29340,17130,23405,47625,57255,38760,27850,57880,40945"
81,forward,clean_crossing,-1,16,8,16,16,0.3273595352950094,"29865,31795,9490,38805,45830,44810,28855,43260,8055,6665,53365,14070,7440,54365,4225,29975"
81,backward,unrestricted,1,16,11,0,3,0.54478181512186,"39250,53760,38470,38915,21290,44975,40725,37895,58135,9805,36300,24280,27340,20315,18515,24650"
81,backward,clean_crossing,1,16,8,16,16,0.3120689775224516,"2105,12270,20825,47465,48600,25075,9630,43780,20590,3500,24290,18250,9500,7465,35800,45510"
82,forward,unrestricted,-1,16,5,0,2,0.43968145777824047,"40945,7290,21955,31725,38660,54270,6645,51405,15975,4370,11340,43210,12020,35510,11815,8715"
82,forward,clean_crossing,-1,16,10,16,16,0.3121271388773478,"55005,25105,4220,25305,48605,12280,47885,3510,9615,37585,49095,54395,24320,9870,31270,55930"
82,backward,unrestricted,1,16,9,1,6,0.5125935335409177,"40525,35850,34490,46725,44525,13425,4040,35575,2845,19315,55325,36590,12985,36130,49170,41065"
82,backward,clean_crossing,1,16,9,16,16,0.3115363634409224,"13425,18240,47440,56600,31785,10625,29980,9495,32510,28030,38790,25075,7440,57590,41435,31095"
83,forward,unrestricted,1,16,13,2,6,0.5016273573495781,"20165,51290,55385,44205,57880,41790,16420,56670,48425,5715,59635,15035,43790,47590,31290,27275"
83,forward,clean_crossing,1,16,10,16,16,0.2796739488122003,"51290,43790,2105,29850,10980,45845,43125,10630,57600,38795,18245,25305,54385,58965,13430,43235"
83,backward,unrestricted,-1,16,7,3,9,0.3328201188136475,"25120,52610,51935,34210,7110,56945,35780,54750,43900,35630,9335,10650,39150,41595,24685,8040"
83,backward,clean_crossing,-1,16,8,16,16,0.2944462242630058,"25120,7110,35780,12140,14095,9620,43265,55035,9495,50575,48635,41415,25315,3495,11495,28850"
84,forward,unrestricted,1,16,11,1,4,0.5791702838668832,"40635,40745,26220,21315,47300,13440,58725,36555,44320,58080,51930,20030,52210,15845,31265,2170"
84,forward,clean_crossing,1,16,9,16,16,0.2948563384792289,"31265,25310,4210,53360,37575,29860,7105,38800,48590,44680,18595,8055,54995,25110,24305,28030"
84,backward,unrestricted,-1,16,7,1,5,0.499955852831104,"21655,34380,41020,52955,55970,58660,2100,10685,11485,8000,22720,30425,49695,56945,5970,40610"
84,backward,clean_crossing,-1,16,8,16,16,0.3008732526758241,"2100,53345,28825,54380,4230,45620,58945,28015,32500,3500,44650,43790,12145,20825,20580,48620"
85,forward,unrestricted,1,16,9,1,3,0.5388782679957409,"85,17490,28835,53685,33400,22960,36545,27290,18660,18855,55595,30450,38725,51485,38020,34770"
85,forward,clean_crossing,1,16,9,16,16,0.3150440779310264,"28835,4235,31805,25335,18260,8050,47885,7480,6660,12150,58945,39095,7110,13425,36795,43250"
85,backward,unrestricted,-1,16,8,1,7,0.4592644404073294,"17650,21945,47090,8010,55820,44145,1180,24755,29930,46290,40550,6655,18925,1525,23850,59795"
85,backward,clean_crossing,-1,16,9,16,16,0.3159252777792484,"6655,48115,35795,29855,41430,50545,7070,2135,21540,48630,56595,9630,53345,54995,28015,25330"
86,forward,unrestricted,1,16,7,0,6,0.42324311837842293,"40580,25945,465,19630,48935,34495,45240,27710,3925,21895,5710,4180,13235,17495,47750,38480"
86,forward,clean_crossing,1,16,10,16,16,0.3052660852662825,"6665,25325,13430,57580,12260,24290,10975,25080,31795,18260,38795,58950,2130,20825,32520,4015"
86,backward,unrestricted,-1,16,8,0,6,0.42830113517262824,"51560,170,47995,16310,13795,49880,8835,45340,21950,5075,54235,34180,37815,56425,52605,48235"
86,backward,clean_crossing,-1,16,9,16,16,0.2823062499851618,"55045,7075,12150,25115,9855,48635,14080,47445,38800,43255,53370,49105,11005,13410,54360,47860"
